,latitude,longitude,rank,company_name,address,city,state,employee_count,revenue,profit
0,36.36477,-94.21763,1,WALMART,702 SW 8TH STREET,Bentonville,AR,2300000,485873,13643.0
1,41.25721,-95.96556,2,BERKSHIRE HATHAWAY,3555 FARNAM STREET,Omaha,NE,367700,223604,24074.0
2,37.33177,-122.03042,3,APPLE,1 INFINITE LOOP,Cupertino,CA,116000,215639,45687.0
3,32.89021,-96.94977,4,EXXON MOBIL,5959 LAS COLINAS BOULEVARD,Irving,TX,72700,205004,7840.0
4,37.78877,-122.40257,5,MCKESSON,1 POST STREET,San Francisco,CA,68000,192487,2258.0
5,44.89756,-93.40318,6,UNITEDHEALTH GROUP,9900 BREN ROAD EAST,Minnetonka,MN,230000,184840,7017.0
6,41.99339,-71.47789,7,CVS HEALTH,1 CVS DRIVE,Woonsocket,RI,204000,177526,5317.0
7,42.32942,-83.04079,8,GENERAL MOTORS,300 RENAISSANCE CENTER,Detroit,MI,225000,166380,9427.0
8,32.77946,-96.7993,9,AT&T,208 SOUTH AKARD STREET,Dallas,TX,268540,163786,12976.0
9,42.31475,-83.2094,10,FORD MOTOR,1 AMERICAN ROAD,Dearborn,MI,201000,151800,4596.0
10,40.0692,-75.46781,11,AMERISOURCEBERGEN,1300 MORRIS DRIVE,Chesterbrook,PA,18500,146850,1427.9
11,47.62226,-122.33676,12,AMAZON.COM,410 TERRY AVENUE NORTH,Seattle,WA,341400,135987,2371.0
12,41.21922,-73.25309,13,GENERAL ELECTRIC,3135 EASTON TURNPIKE,Fairfield,CT,295000,126661,8831.0
13,40.754677,-73.984931,14,VERIZON COMMUNICATIONS,1095 AVENUE OF THE AMERICAS,New York,NY,160900,125980,13127.0
14,40.10899,-83.12077,15,CARDINAL HEALTH,7000 CARDINAL PLACE,Dublin,OH,37300,121546,1427.0
15,47.54779,-122.05035,16,COSTCO,999 LAKE DRIVE,Issaquah,WA,172000,118719,2350.0
16,42.1552,-87.86746,17,WALGREENS BOOTS ALLIANCE,108 WILMOT ROAD,Deerfield,IL,300000,117351,4173.0
17,39.10673,-84.51422,18,KROGER,1014 VINE STREET,Cincinnati,OH,443000,115337,1975.0
18,37.75832,-121.95969,19,CHEVRON,6001 BOLLINGER CANYON ROAD,San Ramon,CA,55200,107567,-497.0
19,38.94045,-77.07715,20,FANNIE MAE,3900 WISCONSIN AVENUE NW,Washington,DC,7000,107162,12313.0
