city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng
McKinney,McKinney,TX,Texas,48085,Collin,33.2015,-96.6669
Scottsdale,Scottsdale,AZ,Arizona,4013,Maricopa,33.6872,-111.8651
Killeen,Killeen,TX,Texas,48027,Bell,31.0754,-97.7296
Tallahassee,Tallahassee,FL,Florida,12073,Leon,30.4551,-84.2526
Peoria,Peoria,IL,Illinois,17143,Peoria,40.752,-89.6153
Wilmington,Wilmington,NC,North Carolina,37129,New Hanover,34.21,-77.8866
Montgomery,Montgomery,AL,Alabama,1101,Montgomery,32.3473,-86.2666
Gilbert,Gilbert,AZ,Arizona,4013,Maricopa,33.3101,-111.7463
Glendale,Glendale,AZ,Arizona,4013,Maricopa,33.5791,-112.2311
North Las Vegas,North Las Vegas,NV,Nevada,32003,Clark,36.288,-115.0901
Chesapeake,Chesapeake,VA,Virginia,51550,Chesapeake,36.6778,-76.3024
Barnstable,Barnstable,MA,Massachusetts,25001,Barnstable,41.6722,-70.3599
Norfolk,Norfolk,VA,Virginia,51710,Norfolk,36.8945,-76.259
Fremont,Fremont,CA,California,6001,Alameda,37.5265,-121.9852
Kennewick,Kennewick,WA,Washington,53005,Benton,46.1978,-119.1732
Garland,Garland,TX,Texas,48113,Dallas,32.91,-96.6305
Irving,Irving,TX,Texas,48113,Dallas,32.8584,-96.9702
Visalia,Visalia,CA,California,6107,Tulare,36.3276,-119.3269
Atlantic City,Atlantic City,NJ,New Jersey,34001,Atlantic,39.3797,-74.4527
Paradise,Paradise,NV,Nevada,32003,Clark,36.0807,-115.1369
Nashua,Nashua,NH,New Hampshire,33011,Hillsborough,42.7491,-71.491
Arlington,Arlington,VA,Virginia,51013,Arlington,38.8786,-77.1011
Hialeah,Hialeah,FL,Florida,12086,Miami-Dade,25.8696,-80.3046
York,York,PA,Pennsylvania,42133,York,39.9651,-76.7315
Evansville,Evansville,IN,Indiana,18163,Vanderburgh,37.9881,-87.5341
Avondale,Avondale,AZ,Arizona,4013,Maricopa,33.3858,-112.3236
Brownsville,Brownsville,TX,Texas,48061,Cameron,25.998,-97.4565
Gulfport,Gulfport,MS,Mississippi,28047,Harrison,30.4271,-89.0703
Appleton,Appleton,WI,Wisconsin,55087,Outagamie,44.2779,-88.3891
Bremerton,Bremerton,WA,Washington,53035,Kitsap,47.5436,-122.7122
Hickory,Hickory,NC,North Carolina,37035,Catawba,35.7425,-81.323
Tacoma,Tacoma,WA,Washington,53053,Pierce,47.2431,-122.4531
San Bernardino,San Bernardino,CA,California,6071,San Bernardino,34.1417,-117.2946
College Station,College Station,TX,Texas,48041,Brazos,30.5852,-96.296
Kalamazoo,Kalamazoo,MI,Michigan,26077,Kalamazoo,42.2749,-85.5882
Thousand Oaks,Thousand Oaks,CA,California,6111,Ventura,34.1914,-118.8755
Roanoke,Roanoke,VA,Virginia,51770,Roanoke,37.2785,-79.958
Fontana,Fontana,CA,California,6071,San Bernardino,34.0968,-117.4599
Moreno Valley,Moreno Valley,CA,California,6065,Riverside,33.9244,-117.2045
North Port,North Port,FL,Florida,12115,Sarasota,27.0577,-82.1975
Fargo,Fargo,ND,North Dakota,38017,Cass,46.8652,-96.8292
Green Bay,Green Bay,WI,Wisconsin,55009,Brown,44.515,-87.9896
Spring Valley,Spring Valley,NV,Nevada,32003,Clark,36.0987,-115.2619
Amarillo,Amarillo,TX,Texas,48375,Potter,35.1988,-101.8311
Portland,Portland,ME,Maine,23005,Cumberland,43.6773,-70.2715
Santa Barbara,Santa Barbara,CA,California,6083,Santa Barbara,34.4285,-119.7202
Gainesville,Gainesville,FL,Florida,12001,Alachua,29.6804,-82.3458
Olympia,Olympia,WA,Washington,53067,Thurston,47.0417,-122.8959
Frisco,Frisco,TX,Texas,48085,Collin,33.1555,-96.8215
Yonkers,Yonkers,NY,New York,36119,Westchester,40.9466,-73.8674
Norwich,Norwich,CT,Connecticut,9011,New London,41.5495,-72.0882
Glendale,Glendale,CA,California,6037,Los Angeles,34.1818,-118.2468
Huntington Beach,Huntington Beach,CA,California,6059,Orange,33.696,-118.0025
Deltona,Deltona,FL,Florida,12127,Volusia,28.905,-81.2137
Aurora,Aurora,IL,Illinois,17089,Kane,41.7637,-88.2901
Tempe,Tempe,AZ,Arizona,4013,Maricopa,33.3881,-111.9318
Overland Park,Overland Park,KS,Kansas,20091,Johnson,38.887,-94.687
Grand Prairie,Grand Prairie,TX,Texas,48113,Dallas,32.6872,-97.0209
Sunrise Manor,Sunrise Manor,NV,Nevada,32003,Clark,36.1785,-115.049
Waco,Waco,TX,Texas,48309,McLennan,31.5598,-97.1881
Salinas,Salinas,CA,California,6053,Monterey,36.6884,-121.6317
Waterbury,Waterbury,CT,Connecticut,9009,New Haven,41.5583,-73.0361
Clarksville,Clarksville,TN,Tennessee,47125,Montgomery,36.5695,-87.342
Cedar Rapids,Cedar Rapids,IA,Iowa,19113,Linn,41.9665,-91.6782
Sioux Falls,Sioux Falls,SD,South Dakota,46099,Minnehaha,43.5397,-96.732
Huntington,Huntington,WV,West Virginia,54011,Cabell,38.4109,-82.4344
Ontario,Ontario,CA,California,6071,San Bernardino,34.0393,-117.6064
Hagerstown,Hagerstown,MD,Maryland,24043,Washington,39.6401,-77.7217
Erie,Erie,PA,Pennsylvania,42049,Erie,42.1168,-80.0733
Vancouver,Vancouver,WA,Washington,53011,Clark,45.6366,-122.5967
Nampa,Nampa,ID,Idaho,16027,Canyon,43.5845,-116.5631
Spartanburg,Spartanburg,SC,South Carolina,45083,Spartanburg,34.9437,-81.9257
Gastonia,Gastonia,NC,North Carolina,37071,Gaston,35.2494,-81.1853
Fort Lauderdale,Fort Lauderdale,FL,Florida,12011,Broward,26.1412,-80.1464
Lorain,Lorain,OH,Ohio,39093,Lorain,41.4409,-82.184
Murfreesboro,Murfreesboro,TN,Tennessee,47149,Rutherford,35.8492,-86.4119
High Point,High Point,NC,North Carolina,37081,Guilford,35.9907,-79.9938
Newport News,Newport News,VA,Virginia,51700,Newport News,37.1051,-76.5185
Rancho Cucamonga,Rancho Cucamonga,CA,California,6071,San Bernardino,34.1248,-117.5666
Hemet,Hemet,CA,California,6065,Riverside,33.7341,-116.9969
Santa Cruz,Santa Cruz,CA,California,6087,Santa Cruz,36.9789,-122.0346
Danbury,Danbury,CT,Connecticut,9001,Fairfield,41.4016,-73.471
Peoria,Peoria,AZ,Arizona,4013,Maricopa,33.7844,-112.2989
