rank,city,state_id,census_2020,census_2010,change,state_name,latitude,longitude,costofliving,localpurchasingpower,groceries,rent,restaurant,f500_average_rank,f500_total_companies,f500_total_employees,f500_total_revenue,f500_total_profit,total_venues,total_superbowls
44,Richmond,VA,1314434,1186501,0.1078,Virginia,37.5295,-77.4756,66.23,120.24,62.7,39.4,72.96,5.0,212.0,63329.0,71381.0,16776.7,3.0,
45,Louisville,KY,1285439,1202718,0.0688,Kentucky,38.1663,-85.6485,64.17,104.08,62.92,33.8,68.24,3.0,284.0,218250.0,67972.0,1568.8,5.0,
46,New Orleans,LA,1271845,1189866,0.0689,Louisiana,30.0687,-89.9288,72.13,92.46,66.41,42.12,75.88,1.0,263.0,13513.0,10846.0,-583.6,6.0,10.0
47,Salt Lake City,UT,1257936,1087873,0.1563,Utah,40.7777,-111.9306,63.9,149.79,60.05,39.55,65.64,1.0,289.0,15000.0,9657.0,326.0,4.0,
49,Buffalo,NY,1166902,1135509,0.0276,New York,42.9016,-78.8487,73.38,118.84,70.73,29.31,71.1,1.0,455.0,16487.0,5722.0,1315.1,3.0,
50,Birmingham,AL,1115289,1061024,0.0511,Alabama,33.5277,-86.7987,74.43,83.41,76.01,30.25,72.17,1.0,436.0,22166.0,5967.0,1163.0,4.0,
55,Tulsa,OK,1015331,937478,0.083,Oklahoma,36.1284,-95.9042,62.25,122.15,57.54,30.28,65.11,3.0,305.0,11188.0,28162.0,-270.9,4.0,
58,Omaha,NE,967604,865350,0.1182,Nebraska,41.2627,-96.0522,72.72,102.23,71.12,30.41,71.33,5.0,202.0,457251.0,274151.0,28382.6,3.0,
67,El Paso,TX,868859,804123,0.0805,Texas,31.8479,-106.4309,54.68,110.44,50.96,24.11,48.45,1.0,349.0,7134.0,7743.0,124.9,3.0,
76,Greensboro,NC,776566,723801,0.0729,North Carolina,36.0956,-79.8269,69.75,86.73,71.08,38.5,70.66,1.0,230.0,69000.0,12207.0,1074.1,3.0,
80,Little Rock,AR,748031,699757,0.069,Arkansas,34.7256,-92.3576,59.39,119.1,56.72,26.66,65.06,2.0,451.0,42670.0,11805.0,-214.3,2.0,
82,Des Moines,IA,709466,606475,0.1698,Iowa,41.5725,-93.6105,67.85,100.77,69.56,31.11,64.61,1.0,227.0,14854.0,12394.0,1316.5,2.0,
83,Akron,OH,702219,703200,-0.0014,Ohio,41.0798,-81.5219,61.11,96.72,62.16,23.67,53.81,2.0,190.0,81707.0,29314.0,-4913.0,3.0,
87,Madison,WI,680796,605435,0.1245,Wisconsin,43.0826,-89.3931,67.47,113.61,65.25,38.07,75.63,1.0,315.0,10471.0,8829.0,325.6,2.0,
92,Durham,NC,649903,564273,0.1518,North Carolina,35.9794,-78.9031,70.15,97.23,80.42,43.73,64.95,1.0,390.0,50000.0,6878.0,115.0,4.0,
93,Wichita,KS,647610,623061,0.0394,Kansas,37.6896,-97.3442,58.68,113.16,53.86,23.25,57.83,1.0,393.0,14400.0,6793.0,469.7,1.0,
94,Toledo,OH,646604,651429,-0.0074,Ohio,41.6639,-83.5822,65.27,82.75,64.96,23.67,65.04,1.0,458.0,16000.0,5677.0,393.0,3.0,
101,Chattanooga,TN,562647,528143,0.0653,Tennessee,35.0657,-85.2488,65.06,86.67,68.21,38.51,58.82,1.0,258.0,9400.0,11047.0,931.4,1.0,
